title|introtext|created|modified
12-6-09 Rom9 - Horizon|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/1206-Rom9.mp3{/s5_mp3}<br /><span style="color: tan;"><a style="text-decoration: none;" href="http://www.heedtheword.org/ccswm/sermons/2009/1206-Rom9.mp3">Download</a></span><br />Title: Horizon<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Romans 9<br />Preached by: Pastor Ken<br /><br />In this message Pastor Ken, deals skillfully with the difficult subject of &quot;God Sovereignty vs. Man's Will&quot;.<br /></span>|2009-12-11 00:00:00|2011-02-17 15:14:19

11-29-09 Rom9 - Will the Real Israel...|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/1129-Rom9.mp3{/s5_mp3}<br />Title: Will The Real Israel Please Stand Up?<br /><span style="color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2009/1129-Rom9.mp3" style="text-decoration: none;">Download</a></span><br />Main Passage: Romans 9<br />Preached by: Pastor Ken<br />|2009-11-29 00:00:00|2011-02-17 15:15:59
12-13-09 Rom9 - Cornerstone|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/1213-Rom9.mp3{/s5_mp3}<br /><span style="background-color: tan;"><a href="http://www.heedtheword.org/ccswm/sermons/2009/1213-Rom9.mp3" style="display: block; text-decoration: none;">Download</a></span>Title: Cornerstone<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Romans 9<br />Preached by: Pastor Ken<br /></span>|2009-12-14 03:18:15|2011-02-17 15:16:22
2-14-10 Rom12 - Lessons in Christian Living Part V|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2010/0214-Rom12.mp3{/s5_mp3}<br /><a target="_blank" href="http://www.heedtheword.org/ccswm/sermons/2010/0214-Rom12.mp3">Download</a><br />Title: Lessons in Christian Living Part V<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Rom 12:9-16<br />Preached by: Pastor Ken<br /></span>|2010-02-14 06:00:00|2010-02-14 22:14:33
2-21-10 Rom12 - Lessons in Christian Living Part VI|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2010/0221-Rom12.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2010/0221-Rom12.mp3" target="_blank">Download</a><br />Title: Lessons in Christian Living Part VI<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Rom 12:17-21<br />Preached by: Pastor Ken<br /></span>|2010-02-21 06:00:00|2010-02-21 22:30:19
Worship|<p><em style="font-weight: bold;">Our Philosophy of Worship</em><br />We worship to bless the Lord.  Psalm 33:3 says, &quot;Sing to Him a new song, Play skillfully with a shout of Joy!&quot;  With this we worship in Spirit and in Truth (John 4:24) as we help usher others into the throne of Grace with our voices and instruments.  Colossians 3:16 says, &quot;Let the word of Christ richly dwell within you, with all wisdom teaching and admonishing one another with psalms and hymns and spiritual songs, singing with thankfulness in your heart to God.&quot;  So Worship the Lord, for He is good and His mercy endures forever!</p><p>&nbsp;</p><p><b>Worship Sample:<br /></b><b>[Sing To The King]</b> <br />{s5_mp3}http://www.heedtheword.org/ccswm/worship/2010-02/SingToTheKing.mp3{/s5_mp3}<a href="http://www.heedtheword.org/ccswm/worship/2010-02/SingToTheKing.mp3">Download</a><br /><br /><!-- <b>[Before The Throne of God Above]</b><br />{s5_mp3}http://www.heedtheword.org/ccswm/worship/2010-01/BeforeTheThroneOfGodAbove.mp3{/s5_mp3}<a href="http://www.heedtheword.org/ccswm/worship/2010-01/BeforeTheThroneOfGodAbove.mp3">Download</a> --></p><p>Our worship team is currently made up of those who earnestly desire to worship the Lord and are called by God.  If you wish to send a message to the Music Ministry visit the <a href="http://www.ccswm.org/ccswm/contact.php?to=music"><u><font size="2">Contacts Page</font></u></a></p>|2009-12-17 01:19:36|2010-04-10 18:33:16
12-20-09 Rom10 - The End of the Law|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/1220-Rom10.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2009/1220-Rom10.mp3">Download</a><br />Title: The End of the Law<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Romans 10: 1-13<br />Preached by: Pastor Ken<br /></span>|2009-12-21 02:53:54|2011-02-17 15:16:51
Our History|<p class="ro-morepadded ro-large"><img src="/images/stories/church/chfrontLeft.jpg" /><br /><br /><font size="4"><strong>Calvary Chapel Southwest Metro</strong></font> began in June of 2003 as a church plant of <a href="http://www.calvarychapelftw.org/"><u>Calvary Chapel Fort Worth</u></a>. </p><p class="ro-padded ro-large">Our first ten months were spent in the chapel of the Laurel Land Funeral Home (201 W. Bufford St., Burleson, 817-295-5211), who graciously donated the space free of charge. Easter morning of 2004 was our first meeting in our current home, located at 130 E. Renfro, Burleson. With over 28,000 square feet of room, this new facility, which was the former First Methodist Church building, was truly a blessing from God to our small but growing fellowship.&nbsp; When the property changed hands and was eventually leased to Hill College, we were allowed to continue having services in the facility and currently meet in the main sanctuary on Sunday mornings and Wednesday evenings.</p><p>Listen below to story of our humble beginnings.</p>{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2010/0620-Psalms105.mp3{/s5_mp3}<br /><a>Download<br /></a><p />|2009-12-27 00:13:30|2010-07-18 21:14:44
12-27-09 Luke 2 - A Birth Announcement|{s5_mp3}http://www.heedtheword.org/ccswm/sermons/2009/1227-Luke2.mp3{/s5_mp3}<br /><a href="http://www.heedtheword.org/ccswm/sermons/2009/1227-Luke2.mp3">Download</a><br />Title: A Birth Announcement<br /><span style="font-family: georgia,times new roman,times,serif;">Main passage: Luke 2: 1-20<br />Preached by: Pastor Ken<br /></span>|2009-12-27 20:54:15|2011-02-17 15:17:50
